Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Unique Officer Allegation ID,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Public Initiated,2016-0012-P,,2016-01-11,2016-07-06,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Special Investigations Division,Special Victims  Section,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34100,Black,Female,,,Female,,
Public Initiated,2016-0013-P,2012-05-07,2016-01-11,2016-09-07,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,B Platoon,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 08 - FAILURE TO REPORT MISCONDUCT,30865,Black,Male,54,,Male,White,
Public Initiated,2016-0015-N,,2016-01-11,2016-02-25,DI-1,Completed,NFIM,,Unknown District/Division,,,,,NO ALLIGATIONS ASSIGNED AT THIS TIME,,30867,,,,,Male,White,
Public Initiated,2016-0016-P,2016-01-08,2016-01-11,2016-06-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,4th District,2nd Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,30868,White,Male,57,,Male,,
Public Initiated,2016-0017-P,2016-01-06,2016-01-11,2018-02-05,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,Narcotics,,Regular Working,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 04 - DISCRIMINATION,30872,Black,Male,34,,,,
Public Initiated,2016-0017-P,2016-01-06,2016-01-11,2018-02-05,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,Narcotics,,Regular Working,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 04 - DISCRIMINATION,30943,Black,Male,32,,,,
Rank Initiated,2016-0019-R,2016-01-12,2016-01-13,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,1st District,3rd Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 01 - REPORTING FOR DUTY,30875,Black,Female,54,,,,
Public Initiated,2016-0005-P,2016-01-03,2016-01-04,2017-02-07,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,8th District,Patrol,Paid Detail,Between 11pm-7am,RULE 6: OFFICIAL INFO,PARAGRAPH 02 - FALSE OR INACCURATE REPORTS,30931,Black,Male,34,,Male,Black,39
Public Initiated,2016-0031-P,2016-01-09,2016-01-17,2017-02-28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31438,White,Male,32,,Male,Black,58
Public Initiated,2016-0031-P,2016-01-09,2016-01-17,2017-02-28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31439,Black,Male,38,,Male,Black,58
Public Initiated,2016-0029-P,2016-01-18,2016-01-18,2016-11-18,DI-1,Completed,Not Sustained,,Unknown District/Division,,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,30988,,,,,,,
Rank Initiated,2016-0035-D,2016-01-19,2016-01-19,2016-01-25,,Completed,Other,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section ,Platoon C,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31018,Black,Female,28,,,,
Public Initiated,2016-0020-P,2015-12-29,2016-01-14,2016-09-07,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,1st District,1st District,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31019,Black,Male,46,,Female,Black,42
Public Initiated,2016-0024-P,2016-01-12,2016-01-26,2016-11-18,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31034,Black,Male,39,,Male,Black,28
Public Initiated,2016-0026-P,2016-01-11,2016-01-26,2016-08-04,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31036,White,Male,50,,Female,White,50
Public Initiated,2016-0026-P,2016-01-11,2016-01-26,2016-08-04,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31038,White,Male,38,,Female,White,50
Public Initiated,2016-0026-P,2016-01-11,2016-01-26,2016-08-04,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31039,White,Male,35,,Female,White,50
Public Initiated,2016-0037-P,2016-01-16,2016-02-05,2019-03-12,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,,,31353,Hispanic,Male,55,,Male,Black,48
Public Initiated,2016-0026-P,2016-01-11,2016-01-26,2016-08-04,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31041,Hispanic,Female,42,,Female,White,50
Rank Initiated,2016-0018-R,2016-01-12,2016-01-26,,DI-1,Forwarded,Pending,MSB - Management Service Bureau,4th District,Extended Sick,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,31042,Black,Male,42,,,,
Public Initiated,2016-0022-P,2016-01-11,2016-01-26,2016-06-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,2nd District,A Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31045,White,Male,34,,Female,White,58
Rank Initiated,2016-0042-R,2016-01-23,2016-01-23,2017-12-14,DI-1,Completed,Sustained,MSB - Management Services Bureau,Police Recruits,Training Section,Academy,Regular Working,8a-4p,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31087,Black,Male,26,,,,
Public Initiated,2016-0044-P,2016-01-12,2016-01-25,2016-08-03,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,4th District,4th District,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31118,Black,Male,53,,Male,Black,42
Public Initiated,2016-0044-P,2016-01-12,2016-01-25,2016-08-03,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,4th District,4th District,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31154,Black,Female,52,,Male,Black,42
Public Initiated,2016-0033-N,2016-01-03,2016-01-19,2016-03-15,NFIM,Completed,NFIM,FOB - Field Operations Bureau,2nd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,31130,White,Male,29,,Male,Asian,51
Public Initiated,2016-0033-N,2016-01-03,2016-01-19,2016-03-15,NFIM,Completed,NFIM,FOB - Field Operations Bureau,2nd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,31132,White,Male,40,,Male,Asian,51
Public Initiated,2016-0033-N,2016-01-03,2016-01-19,2016-03-15,NFIM,Completed,NFIM,FOB - Field Operations Bureau,2nd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,31133,White,Male,25,,Male,Asian,51
Public Initiated,2016-0027-P,2016-01-14,2016-01-15,2016-07-21,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31134,Black,Female,47,,Female,Black,43
Rank Initiated,2016-0041-R,2016-01-23,2016-01-29,2017-02-20,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Night Watch,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31136,Black,Male,61,,,,
Public Initiated,2016-0025-P,2015-10-22,2016-01-15,2016-12-27,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31142,White,Male,33,,Male,White,68
Public Initiated,2016-0052-P,2016-01-27,2016-01-29,2017-03-07,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Task Force,Task Force B,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31144,Black,Male,55,,Male,,
Rank Initiated,2016-0056-R,2016-01-29,2016-01-29,2016-03-01,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,5th District,Investigations,Squad 3,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31146,Black,Male,40,,,,
Rank Initiated,2016-0054-R,2016-01-29,2016-01-29,2016-05-19,DI-1,Completed,Sustained,MSB - Management Services Bureau,Police Recruits,Training Section,,AWP - Off Duty,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31155,White,Male,25,,,,
Public Initiated,2016-0021-P,2016-01-03,2016-01-14,2017-04-18,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,5th District,Task Force,A Platoon,Regular Working,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31180,White,Male,29,,Male,Black,27
Public Initiated,2016-0021-P,2016-01-03,2016-01-14,2017-04-18,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,5th District,Task Force,A Platoon,Regular Working,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31182,Black,Male,27,,Male,Black,27
Rank Initiated,2016-0058-R,2016-01-30,2016-01-31,2018-02-19,DI-1,Completed,Sustained,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,2nd Platoon,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31187,Black,Male,33,,,,
Public Initiated,2016-0043-P,,2016-01-25,2016-06-06,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,B Platoon,Squad 2,,,RULE 3: PROF CONDUCT,PARAGRAPH 08 - Use of Alchohol/Drugs On Duty,31412,White,Male,,,Female,Black,
Rank Initiated,2016-0023-R,2015-01-13,2016-01-14,2016-06-20,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,2nd District,Patrol,Regular Working,Between 3pm-11pm,,,31233,Black,Female,28,,Female,Black,
Public Initiated,2016-0028-P,2016-01-09,2016-01-15,2016-12-23,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,Motorcycle 2nd Platoon,Regular Working,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31241,Black,Male,56,,Female,White,31
Rank Initiated,2016-0036-R,2016-01-17,2016-01-19,2017-02-07,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31247,White,Male,39,,,,
Public Initiated,2016-0055-P,2016-01-29,2016-02-02,2016-02-19,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31250,Black,Female,40,,Male,Black,30
Rank Initiated,2016-0059-R,2016-01-30,2016-02-02,2018-06-28,DI-1,Completed,Sustained,Not - NOPD Officer,8th District,8th District,NOLA Patrol Specialist ,Regular Working,Between 7am-3pm,,,31252,Black,Female,25,,,,
Rank Initiated,2016-0046-R,2015-09-06,2016-01-26,2017-03-13,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 03 - DEVOTING ENTIRE TIME TO DUTY,31299,White,Male,33,,Male,Black,
Public Initiated,2016-0063-P,2016-01-19,2016-02-01,2016-06-16,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,3rd District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31302,Black,Male,36,,Female,Black,53
Public Initiated,2016-0063-P,2016-01-19,2016-02-01,2016-06-16,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,3rd District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33838,,,,,Female,Black,53
Rank Initiated,2016-0077-R,2016-01-25,2016-02-01,2019-08-21,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31304,Black,Male,42,,Female,Black,
Public Initiated,2016-0030-P,2015-12-17,2016-01-19,2016-06-09,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,Day Watch,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31308,White,Male,36,,Female,Black,57
Rank Initiated,2016-0057-R,2016-01-30,2016-02-04,2017-10-16,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Criminal Investigations Division,Special Victims  Section,Sex Offender Registration,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31310,Black,Female,40,,,,
Rank Initiated,2016-0070-R,2016-02-01,2016-02-04,2016-08-23,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section ,Platoon C,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31327,Black,Female,28,,,,
Public Initiated,2016-0040-P,2016-01-09,2016-02-04,2017-03-27,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,3rd Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31329,Black,Male,51,,Female,Black,47
Public Initiated,2016-0048-P,2016-01-13,2016-02-04,2017-03-28,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,B Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31331,Black,Female,31,,Male,Black,41
Public Initiated,2016-0037-P,2016-01-16,2016-02-05,2019-03-12,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,,,31356,White,Male,36,,Male,Black,48
Rank Initiated,2016-0034-R,2016-01-03,2016-02-05,2016-07-21,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section ,Platoon C,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31372,Black,Female,28,,,,
Public Initiated,2016-0045-P,2016-01-26,2016-01-27,2016-07-21,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Communications Division,3rd Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31375,Black,Female,49,,Female,Black,24
Public Initiated,2016-0071-P,2016-02-01,2016-02-01,2016-06-16,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,4th District,3rd Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31376,Not Specified,Male,27,,Sex-Unk,Race-Unknown,
Public Initiated,2016-0039-P,2016-01-21,2016-01-21,2016-06-09,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,3rd District,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31379,White,Male,57,,Female,Black,60
Public Initiated,2016-0047-P,,2016-01-26,2017-11-28,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,D.I.U.,Persons,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31383,White,Male,,,Male,White,
Public Initiated,2016-0047-P,,2016-01-26,2017-11-28,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,D.I.U.,Persons,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31384,White,Male,,,Male,White,
Public Initiated,2016-0065-N,,2016-02-01,2016-03-23,DI-1,Completed,NFIM,MSB - Management Service Bureau,Education/Training & Recruitment Division,Recruitment Division,Staff,,,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,31791,,,,,Sex-Unk,Race-Unknown,
Public Initiated,2016-0060-P,2016-01-30,2016-02-01,2018-07-02,DI-1,Completed,Sustained,MSB - Management Services Bureau,Education/Training & Recruitment Division,Training Section,Special Assignment,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,31388,Black,Male,56,,,,
Public Initiated,2016-0078-P,,2016-02-04,2016-06-16,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Special Events,6th District,Special Assignment,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,31400,Black,Male,,,Female,Black,
Rank Initiated,2016-0061-R,2016-01-15,2016-02-06,2016-06-16,DI-1,Completed,Exonerated,,Crime Lab Division,,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 03 - HONESTY AND TRUTHFULNESS,31403,Black,Female,31,,,,
Public Initiated,2016-0084-P,2016-02-04,2016-02-08,2016-06-16,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,31405,Black,Male,58,,,,
Public Initiated,2016-0084-P,2016-02-04,2016-02-08,2016-06-16,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,31405,Black,Male,58,,Female,Black,22
Public Initiated,2016-0069-P,2016-01-31,2016-02-01,2017-06-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,Squad 2,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31720,,,,,Male,Black,28
Public Initiated,2016-0069-P,2016-01-31,2016-02-01,2017-06-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,Squad 2,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,38868,White,Male,41,,Male,Black,28
Public Initiated,2016-0069-P,2016-01-31,2016-02-01,2017-06-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,Squad 2,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,38870,White,Male,52,,Male,Black,28
Public Initiated,2016-0069-P,2016-01-31,2016-02-01,2017-06-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,Squad 2,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,38871,White,Female,39,,Male,Black,28
Public Initiated,2016-0069-P,2016-01-31,2016-02-01,2017-06-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,Squad 2,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,38873,Black,Male,33,,Male,Black,28
Public Initiated,2016-0069-P,2016-01-31,2016-02-01,2017-06-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,Squad 2,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,38875,White,Male,27,,Male,Black,28
Public Initiated,2016-0069-P,2016-01-31,2016-02-01,2017-06-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,Squad 2,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,38877,White,Male,35,,Male,Black,28
Public Initiated,2016-0069-P,2016-01-31,2016-02-01,2017-06-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,Squad 2,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,38879,White,Male,54,,Male,Black,28
Public Initiated,2016-0074-P,2016-01-02,2016-02-01,2016-06-16,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,2nd District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31414,Black,Female,29,,Male,Black,35
Rank Initiated,2016-0081-R,2016-01-31,2016-02-05,2016-06-16,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,8th District,Adminstrative Staff,ADD Special Assignment,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 01 - REPORTING FOR DUTY,31418,White,Male,40,,,,
Rank Initiated,2016-0072-D,2016-02-01,2016-02-01,2016-02-01,DI-2,Completed,Other,FOB - Field Operations Bureau,Communications Division,A Platoon,Unknown Assignment,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31417,Black,Female,53,,,,
Public Initiated,2016-0051-P,2016-01-28,2016-02-08,2016-06-15,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31420,Black,Female,35,,,,
