PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2021-0351,11/08/2021,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Takedown (no injury),L1 | L1,,No | Yes,Black | Black,Male | Male,29 | 29,5 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2021-0352,11/09/2021,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Other,- Hands (with injury) | - Hands (with injury),L2 | L2,,Yes | Yes,Black | White,Male | Male,38 | 27,6 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2021-0355,11/10/2021,FOB - Field Operations Bureau,8th District,,,Paid Detail,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Takedown (no injury),L1,,Yes,Black,Male,34,5,,,,,,,,,,,Battery on Police Officer,Yes
FTN2021-0356,11/10/2021,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Force (Take Down) | CEW Deployment,L2 | L2,,Yes | Yes,White | Not Specified,Male | Male,46 | 33,14 | 5,,,,,,,,,,,Resisting Lawful Arrest,Yes | No
FTN2021-0354,11/10/2021,FOB - Field Operations Bureau,3rd District,B Platoon,,Paid Detail,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,CEW Deployment,L2,,Yes,Black,Male,32,6,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2022-0331,09/03/2022,FOB - Field Operations Bureau,8th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | White,Male | Male,47 | 44,14 | 14,,,,,,,,,,,Weapon Exhibited,No | No
FTN2022-0348,09/11/2022,FOB - Field Operations Bureau,3rd District,3rd District,Patrol,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Other,Poor,Rainy Conditions - Light,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,No | Yes,Black | Hispanic,Male | Male,27 | 24,4 | 3,,,,,,,,,,,refuse verbal commands,No | No
FTN2022-0355,09/18/2022,ISB - Investigative Services Bureau,CE & CL,Crime Lab,Admin,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Not Used,Good,Other,Hands,L1,,Yes,White,Male,56,35,,,,,,,,,,,refuse verbal commands,No
FTN2021-0380,12/01/2021,FOB - Field Operations Bureau,2nd District,DIU Staff,DIU Staff DIU,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | White,Male | Female,32 | 29,6 | 5,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2021-0381,12/03/2021,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,28,3,,,,,,,,,,,Flight from an Officer,No
FTN2022-0008,01/07/2022,FOB - Field Operations Bureau,Special Operations Division,C Platoon,,Regular Working,Between 11pm-7am,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Force (Defense Tech) | Force (Take Down) | Takedown (no injury) | Force (Take Down) | Force (Defense Tech) | Takedown (no injury) | Force (Defense Tech),L2 | L2 | L1 | L2 | L2 | L1 | L2,,Yes | No | Yes | No | Yes | Yes | No,White | White | White | Black | Black | White | White,Male | Male | Male | Female | Male | Male | Male,48 | 48 | 38 | 35 | 38 | 30 | 30,13 | 13 | 9 | 8 | 7 | 6 | 6,,,,,,,,,,,refuse verbal commands,No | No | No | No | No | No | No
FTN2022-0009,01/09/2022,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,31,5,,,,,,,,,,,Weapon Exhibited,No
FTN2022-0010,01/10/2022,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Female,35,5,,,,,,,,,,,Flight from an Officer,No
FTN2022-0011,01/11/2022,FOB - Field Operations Bureau,1st District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,Hispanic | White | White,Male | Male | Male,34 | 44 | 28,7 | 8 | 7,,,,,,,,,,,Weapon Exhibited,No | No | No
FTN2022-0012,01/11/2022,FOB - Field Operations Bureau,7th District,DIU Persons,DIU Persons DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Hands | Firearm (Exhibited),L1 | L1 | L1,,No | Yes | No,Black | Black | Black,Male | Male | Female,46 | 46 | 32,17 | 17 | 8,,,,,,,,,,,refuse verbal commands,No | No | No
FTN2022-0013,01/12/2022,FOB - Field Operations Bureau,1st District,DIU Property,DIU Property DIU,Regular Working,Between 7am-3pm,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,33,9,,,,,,,,,,,Weapon Exhibited,No
FTN2022-0014,01/12/2022,PIB - Public Integrity Bureau,PIB,Force Investigation Team,Investigations,Unknown Working Status,Unknown Shift Hours,Completed,UOF Not Justified With Policy Violations,Call for Service,Good,Clear Conditions, VehPursuits w/Injury |  VehPursuits w/Injury |  VehPursuits w/Injury |  VehPursuits w/Injury |  VehPursuits w/Injury |  VehPursuits w/Injury,L4 | L4 | L4 | L4 | L4 | L4,,Yes | Yes | Yes | Yes | Yes | Yes,White | White | Black | White | Black | Black,Male | Male | Female | Male | Male | Female,37 | 48 | 35 | 35 | 38 | 39,14 | 13 | 8 | 7 | 7 | 7,,,,,,,,,,,Flight from an Officer,No | No | No | No | No | No
FTN2022-0017,01/13/2022,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Takedown (no injury),L1 | L1,,Yes | Yes,Hispanic | Hispanic,Male | Male,37 | 37,6 | 6,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2022-0015,01/13/2022,FOB - Field Operations Bureau,1st District,K9 Section,,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Tactical Search,Good,Clear Conditions,Canine (No Bite),L2,,Yes,Black,Male,34,14,,,,,,,,,,,Escape,No
FTN2022-0018,01/14/2022,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF No Reportable Force Used by Officer,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,47,19,,,,,,,,,,,Weapon Exhibited,No
FTN2022-0021,01/19/2022,FOB - Field Operations Bureau,8th District,Gen Assignment,Gen Assignment Other,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury) | Takedown (no injury),L1 | L1 | L1,,Yes | Yes | Yes,Black | Black | Black,Male | Male | Male,39 | 38 | 54,18 | 7 | 24,,,,,,,,,,,refuse verbal commands,Yes | Yes | No
FTN2022-0022,01/19/2022,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,,Yes,Black,Male,38,14,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2022-0023,01/20/2022,FOB - Field Operations Bureau,3rd District,A Platoon,Day Watch,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Force (Escort Tech) | Force (Escort Tech),L1 | L1,,Yes | Yes,Black | Black,Male | Male,35 | 33,13 | 4,,,,,,,,,,,refuse verbal commands,No | No
FTN2022-0025,01/21/2022,FOB - Field Operations Bureau,6th District,DIU Persons,DIU Persons DIU,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands,L1,,Yes,White,Male,38,11,,,,,,,,,,,refuse verbal commands,No
FTN2022-0024,01/21/2022,FOB - Field Operations Bureau,Special Operations Division,VOWS/Extradition,VOWS/Extradition,Regular Working,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,34,10,,,,,,,,,,,Tactical Deployments,No
FTN2019-0028,01/22/2019,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,UOF Justified,Traffic Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,,No,White,Male,33,8,,,,,,,,,,,Flight from an Officer,No
FTN2022-0027,01/25/2022,FOB - Field Operations Bureau,6th District,D.I.U.,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | Asian/Pacific Islander,Male | Male,40 | 31,9 | 4,,,,,,,,,,,Resisting Officer w/Weapon,No | No
FTN2022-0026,01/25/2022,FOB - Field Operations Bureau,8th District,Gen Assignment,Gen Assignment Other,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Rainy Conditions - Light,CEW Deployment,L2,,Yes,White,Male,23,3,,,,,,,,,,,Battery on Police Officer,No
FTN2022-0031,01/26/2022,FOB - Field Operations Bureau,7th District,Tactical Section,K-9 Section,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Canine (No Bite) | Firearm (Exhibited) | Canine (No Bite) | Firearm (Exhibited),L2 | L1 | L2 | L1,,Yes | Yes | Yes | Yes,Black | White | Black | White,Male | Male | Male | Male,39 | 45 | 51 | 46,13 | 0 | 22 | 8,,,,,,,,,,,Tactical Deployments,No | No | No | No
FTN2022-0028,01/26/2022,FOB - Field Operations Bureau,Special Operations Division,Narcotics,FBI,Regular Working,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited) | Rifle (Pointed),L1 | L1,,Yes | Yes,Black | Black,Male | Male,46 | 30,4 | 3,,,,,,,,,,,Weapon Exhibited,No | No
FTN2022-0034,01/28/2022,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited),L1,,No,White,Male,56,31,,,,,,,,,,,Weapon Exhibited,No
FTN2022-0035,01/29/2022,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,,Yes | Yes,Black | White,Male | Female,30 | 28,4 | 2,,,,,,,,,,,refuse verbal commands,No | No
FTN2022-0036,01/29/2022,FOB - Field Operations Bureau,6th District,VOWS/Extradition,VOWS/Extradition,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Hands | Firearm (Exhibited) | Firearm (Exhibited) | Hands | Firearm (Exhibited) | Firearm (Exhibited) | Hands | Firearm (Exhibited) | Head Strike (No Wep) | Firearm (Exhibited) | Firearm (Exhibited) | Hands | Hands | Hands | Hands | Takedown (no injury),L1 | L1 | L1 | L1 | L1 | L1 | L1 | L1 | L1 | L3 | L1 | L1 | L1 | L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes,White | White | Asian/Pacific Islander | Black | Black | Black | Black | Black | Black | Black | Black | Black | Black | White | White | Black | Black,Male | Male | Male | Male | Male | Male | Male | Male | Male | Male | Male | Male | Male | Male | Male | Male | Male,37 | 37 | 37 | 50 | 50 | 39 | 35 | 35 | 50 | 42 | 63 | 32 | 32 | 44 | 28 | 23 | 32,14 | 14 | 16 | 14 | 14 | 16 | 13 | 13 | 22 | 18 | 24 | 9 | 9 | 8 | 7 | 3 | 3,,,,,,,,,,,Weapon Exhibited,No | No | No | Yes | Yes | No | No | No | No | No | No | Yes | Yes | No | No | No | No
FTN2022-0037,01/30/2022,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,43,10,,,,,,,,,,,Flight from an Officer,No
FTN2016-0018,01/09/2016,FOB - Field Operations Bureau,4th District,3rd Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,CEW Deployment | Force (Take Down),L2 | L2,,No | Yes,Not Specified | Not Specified,Male | Male,27 | 27,8 | 8,,,,,,,,,,,Other,No | No
FTN2016-0017,01/09/2016,FOB - Field Operations Bureau,4th District,D.I.U.,Squad 1,,,Completed,Use Of Force Authorized,Call for Service,Poor,Other,Force (Take Down) | Force (Take Down),L2 | L2,,Yes | Yes,Black | Not Specified,Male | Male,37 | 27,14 | 8,,,,,,,,,,,Other,No | No
FTN2016-0019,01/10/2016,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Other,Hands | Hands | Other,L1 | L1 | L2,,No | No | Yes,Black | Black | Black,Female | Male | Male,42 | 54 | 54,15 | 3 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2022-0038,01/31/2022,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (w/injury) | Takedown (w/injury),L2 | L2,,Yes | Yes,White | White,Male | Male,45 | 24,7 | 2,,,,,,,,,,,Resisting Lawful Arrest,Yes | Yes
FTN2022-0039,01/31/2022,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury) | Firearm (Exhibited) | Firearm (Exhibited) | Takedown (w/injury) | Firearm (Exhibited),L1 | L1 | L1 | L2 | L1,,Yes | Yes | Yes | Yes | Yes,White | Hispanic | White | White | White,Male | Male | Male | Male | Male,38 | 32 | 31 | 31 | 42,13 | 6 | 5 | 5 | 2,,,,,,,,,,,Flight from an Officer,No | No | No | No | No
FTN2022-0041,01/31/2022,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Takedown (no injury) | Takedown (no injury) | Hands,L1 | L1 | L1,,Yes | Yes | Yes,Not Specified | Hispanic | Hispanic,Male | Male | Male,28 | 36 | 29,4 | 3 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | No | Yes
FTN2022-0040,01/31/2022,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,Black | Black | White,Female | Male | Male,41 | 39 | 28,19 | 6 | 2,,,,,,,,,,,refuse verbal commands,No | No | No
FTN2022-0042,02/01/2022,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,,Yes,Black,Male,55,15,,,,,,,,,,,refuse verbal commands,No
FTN2022-0047,02/01/2022,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Other,Firearm (Exhibited) | Hands,L1 | L1,,Yes | Yes,Black | Black,Male | Male,57 | 25,22 | 4,,,,,,,,,,,refuse verbal commands,No | No
FTN2022-0052,02/07/2022,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Takedown (no injury) | Takedown (no injury) | Takedown (no injury),L1 | L1 | L1,,Yes | Yes | Yes,White | Black | Hispanic,Male | Male | Male,51 | 26 | 24,25 | 3 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2016-0028,01/13/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,Asian/Pacific Islander | White | Black,Male | Male | Male,31 | 42 | 36,16 | 13 | 18,,,,,,,,,,,Other,No | No | No
FTN2016-0143,03/11/2016,FOB - Field Operations Bureau,8th District,Narcotics,,,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Hands | Hands | Hands,L1 | L1 | L1,,Yes | Yes | Yes,Hispanic | Black | White,Male | Male | Female,27 | 33 | 39,11 | 11 | 9,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2017-0028,01/20/2017,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Unknown Working Status,Between 7am-3pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,30,6,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2017-0071,02/06/2017,FOB - Field Operations Bureau,5th District,Staff,,,,Completed,Use Of Force Authorized,Call for Service,,,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Black | White,Male | Male,41 | 49,17 | 27,,,,,,,,,,,refuse verbal commands,No | No
FTN2017-0073,02/09/2017,FOB - Field Operations Bureau,4th District,1st Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,49,19,,,,,,,,,,,Other,No
FTN2017-0087,02/17/2017,FOB - Field Operations Bureau,4th District,2nd Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Light,CEW Deployment | CEW Deployment,L2 | L2,,No | No,Black | Black,Male | Male,30 | 42,13 | 8,,,,,,,,,,,Battery on Police Officer,No | No
FTN2017-0092,02/17/2017,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,Black | White,Male | Male,27 | 33,7 | 6,,,,,,,,,,,Other,No | No
FTN2022-0054,02/08/2022,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,- Hands (with injury) | - Hands (with injury) | - Hands (with injury),L2 | L2 | L2,,Yes | Yes | Yes,White | White | White,Male | Male | Male,51 | 51 | 38,14 | 25 | 1,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2022-0056,02/09/2022,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Hands | Hands | Force (Escort Tech) | Hands | Hands | Hands,L1 | L1 | L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes | Yes | Yes,Black | White | Black | Black | White | White,Male | Male | Male | Male | Female | Male,43 | 45 | 34 | 34 | 40 | 25,18 | 7 | 3 | 3 | 3 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | No | No | No | No | Yes
FTN2017-0226,05/04/2017,FOB - Field Operations Bureau,2nd District,Narcotics,,Regular Working,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Other,Firearm (Exhibited) | CEW Deployment,L1 | L2,,No | Yes,Black | White,Male | Male,31 | 41,9 | 8,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2017-0093,02/18/2017,FOB - Field Operations Bureau,8th District,C Platoon,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down) | Force (Take Down),L2 | L2,,Yes | Yes,Black | Black,Male | Male,47 | 54,25 | 33,,,,,,,,,,,Battery on Police Officer,No | No
FTN2017-0102,02/24/2017,FOB - Field Operations Bureau,1st District,Task Force,Task Force A,Regular Working,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,28,9,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2017-0103,02/25/2017,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad A,,,Suspended,Pending,Arresting,Good,Clear Conditions,Hands | Hands | Hands | Head Strike (No Wep),L1 | L1 | L1 | L3,,Yes | Yes | Yes | No,Black | Black | Black | Black,Male | Male | Male | Male,38 | 34 | 38 | 38,14 | 15 | 17 | 17,,,,,,,,,,,Battery on Police Officer,No | No | No | No
FTN2017-0123,03/08/2017,FOB - Field Operations Bureau,1st District,1st Platoon,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,34,16,,,,,,,,,,,refuse verbal commands,No
FTN2017-0153,03/28/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Black | White,Male | Male,49 | 43,20 | 23,,,,,,,,,,,Other,No | No
FTN2017-0156,03/29/2017,FOB - Field Operations Bureau,4th District,Task Force,,Regular Working,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,Firearm (Exhibited) | Force (Escort Tech),L1 | L1,,Yes | Yes,Black | Black,Male | Male,36 | 36,10 | 10,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2017-0618,12/09/2017,FOB - Field Operations Bureau,3rd District,,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Force (Take Down) | Firearm (Exhibited),L1 | L2 | L1,,No | Yes | No,White | White | Black,Male | Male | Male,30 | 30 | 33,7 | 7 | 7,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2017-0620,12/10/2017,FOB - Field Operations Bureau,4th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,Black | Hispanic,Female | Male,41 | 27,24 | 6,,,,,,,,,,,refuse verbal commands,No | No
FTN2018-0225,06/17/2018,FOB - Field Operations Bureau,3rd District,Task Force,,Unknown Working Status,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,No | No,White | White,Male | Male,25 | 34,8 | 6,,,,,,,,,,,Resisting Officer w/Weapon,No | No
